Samples,Individuals (computed),S(est),S(est) 95% CI Lower Bound,S(est) 95% CI Upper Bound,S(est) SD,S Mean (runs),Singletons Mean,Singletons SD (runs),Doubletons Mean,Doubletons SD (runs),Uniques Mean,Uniques SD (runs),Duplicates Mean,Duplicates SD (runs),ACE Mean,ACE  SD (runs),ICE Mean,ICE SD (runs),Chao 1 Mean,Chao 1 95% CI Lower Bound,Chao 1 95% CI Upper Bound,Chao 1 SD (analytical),Chao 2 Mean,Chao 2 95% CI Lower Bound,Chao 2 95% CI Upper Bound,Chao 2 SD (analytical),Jack 1 Mean,Jack 1 SD (analytical),Jack 2 Mean,Jack 2 SD (runs),Bootstrap Mean,Bootstrap  SD (runs),MMRuns Mean,MMMeans (1 run),Cole Rarefaction,Cole SD (analytical),Alpha Mean,Alpha SD (analytical),Shannon Mean,Shannon SD (runs),Shannon Exponential Mean,Shannon Exponential SD (runs),Simpson Inv Mean,Simpson Inv SD (runs)
1,38.27,11.36,8.33,14.4,1.55,11.52,4.62,2.36,2.33,1.69,11.52,4.29,0,0,15.99,6.61,11.52,4.29,15.77,12.33,35.14,4.56,11.52,18.22,18.22,0,11.52,0,0,0,11.52,4.29,0,0,15.35,2.38,0,0,0,0,0,0,0,0
2,76.55,18.44,14.25,22.62,2.14,18.8,7.47,2.52,3.49,2.03,14.4,4.12,4.4,2.8,26.99,6.8,96.94,70.8,26.6,20.54,54.99,7.13,37.99,25.6,76.71,11.49,26,2.27,26,5.75,22.4,4.86,55.42,48.83,21.48,2.48,0,0,0,0,0,0,0,0
3,114.82,23.32,18.64,28,2.39,23.94,9.5,2.9,3.92,2.16,15.34,4.4,6.2,2.98,35.38,7.8,79.03,100.69,37.39,27.47,76.94,10.6,40.3,28.88,78.8,11.11,34.17,3.49,38.25,7.23,28.71,4.54,56.34,49.17,25.57,2.44,0,0,0,0,0,0,0,0
4,153.09,27,22.06,31.94,2.52,27.38,10.51,2.89,4.49,1.9,15.1,3.71,7.14,2.53,40.11,7.79,50.31,15.83,40.34,30.8,77.57,10.08,38.86,30.81,66.38,7.89,38.71,3.67,43.88,7.33,32.62,4.48,50.27,49.68,28.65,2.35,0,0,0,0,0,0,0,0
5,191.36,29.92,24.82,35.02,2.6,30.7,11.42,2.76,4.98,1.92,15.22,2.94,7.68,2.57,44.78,7.97,49.07,8.46,43.86,34.2,80.68,10.08,42.45,34.19,70.64,8.09,42.88,4.1,48.55,6.28,36.33,3.71,58.17,50.24,31.13,2.22,0,0,0,0,0,0,0,0
6,229.64,32.32,27.1,37.54,2.66,33,11.7,2.65,5.33,1.83,14.92,2.77,7.91,2.4,46.84,7.16,49.31,7.16,45.15,36.26,78.7,9.22,44.81,36.5,73.15,8.14,45.43,4.08,51.16,6.18,38.77,3.1,206.71,50.77,33.18,2.06,0,0,0,0,0,0,0,0
7,267.91,34.32,29.01,39.64,2.71,34.78,11.77,2.43,5.56,1.85,14.51,2.56,7.81,2.41,48.34,6.41,49.55,5.86,46.48,37.92,78.8,8.88,46.17,38.12,73.84,7.92,47.22,3.91,52.93,6.23,40.57,2.74,62.06,51.26,34.93,1.87,0,0,0,0,0,0,0,0
8,306.18,36.03,30.63,41.43,2.75,36.24,11.62,2.32,5.57,1.7,14.02,2.62,7.81,2.58,48.75,5.98,49.99,5.72,47.32,39.19,78.24,8.47,48.01,39.65,77.12,8.28,48.51,3.78,54,6.68,41.98,2.55,92.07,51.69,36.44,1.64,0,0,0,0,0,0,0,0
9,344.45,37.51,32.02,43,2.8,37.5,11.17,1.84,6.03,1.39,13.35,2.2,8.01,2.28,48.61,4.39,49.91,4.65,46.52,39.84,72.6,7.07,47.66,40.37,73.67,7.32,49.37,3.49,54.3,6.07,43.13,2.19,58.99,52.07,37.77,1.36,0,0,0,0,0,0,0,0
10,382.73,38.82,33.21,44.42,2.86,38.88,11.26,1.5,5.94,1.13,13.36,1.91,7.4,1.7,49.66,3.45,51.24,3.86,47.88,41.2,73.98,7.07,49.12,41.77,75.38,7.39,50.9,3.56,56.33,5.16,44.55,1.55,60.73,52.43,38.95,0.98,0,0,0,0,0,0,0,0
11,421,40,34.25,45.75,2.93,40,11,0,6,0,13,0,7,0,49.78,0,51.66,0,47.84,41.96,71.4,6.32,48.86,42.41,72.63,6.61,51.82,3.52,57.3,0,45.57,0,56.36,52.77,40,0,0,0,0,0,0,0,0,0
